id,name,amount,abstract,address,ref_number,university,year,area,survive,social_media,phone_call,No_members,No_alumni,No_professor,No_undergrad,No_postgrad,No_other,Employee,private_fund,Sciencepark
137,Flectrode Technology Limited,0.25,"Flectrode Inc. will focus on the development of high-performance flexible dye-sensitive solar cells (DSSCs), one of the most promising photovoltaic (PV) sources for consumer electronics and self-powered sensor applications under indoor environment.","Unit B, 11/F, Tower B Billion, CTR 1 Wang Kwong Road, KLN, Hong Kong",TSSSU/HKU/16/08,HKU,2016,Nanotechnology and Materials Science,1,0,0,5,1,2,0,2,0,,0,0
138,Movabar Limited,0.1,"MOVABAR is a lush and exclusive cocktail bar with mobility capable of transforming and unfolding at a desired location. 
 
 A new wave of sharing platforms like Airbnb and Uber has emerged in the past decade. Our cities and living habits have evolved and intertwined into the ubiquitous internet ever since. As sharing of resources is most efficient when transaction cost is low, they work best in high density cites.
 
  Our idea is to create an on-demand physical serving companion, an exquisite artifact, for the enjoyment of cocktails with a simple click in a smartphone app. The cart is equipped with a built-in freezer, running water, and comes with selected alcohols and ingredients required for night. It may be rented for a company event, a party or a private gathering just for beloved friends.","5B, So Tao Center, 11-15 Kwai Sau Road, Kwai Chung",TSSSU/HKU/16/09,HKU,2016,Information and Communication Technologies,1,0,0,3,1,0,0,1,1,,0,0
139,Enzyme Design Limited,0.45,"Enzyme Design Limited is the first company in Asia to provide computational enzyme design service to companies that produce or use enzymes. Enzymes are proteins catalyzing chemical reactions in living organisms. As green catalysts, enzymes have been widely used in many industries. However, enzyme users need to design/modify natural enzymes in order to fit industrial requirements. 
 
 Traditional enzyme design method is expensive both in money and time (1-2 years). Our company has developed a new cost-effective computational enzyme design technology by harnessing the increasing power of modern supercomputers and computational chemistry. Our technology significantly shortens the enzyme design schedule from 1-2 years to 3-4 months and at the same time reduces >95% of the experimental cost. 
 
 We provide research support to our customers in the form of contract research service. With the gene sequence of the target enzyme given by the customer, we provide well designed enzymes which have been verified in laboratory or computationally designed gene sequences which need laboratory verification by the customer.","Room E, 10/F, Block B Chong Yip Center, 11-21 Whitty Street, Sai Ying Pun, Hong Kong",TSSSU/HKU/17/01,HKU,2017,Biotechnology,1,0,0,2,1,1,0,0,0,,0,0
140,Lifespans Limited,1.79,"Lifespans invents, manufactures, and sells implants for repairing bone fractures in the elderly, the fastest growing patient group worldwide. Based on revolutionary biotech developed by our team at The University of Hong Kong, our implants offer unparalleled safety and effectiveness for the delicate bones of patients with osteoporosis. Lifespans is poised for market entry of its first line of implants in the US, EU, and China as a Class II device in 2019.","Unit C, 10/F, Kwai Bo Industrial Building, 40 Wong Chuk Hang Road, Wong Chuk Hang, Hong Kong",TSSSU/HKU/17/02,HKU,2017,Biotechnology,1,0,1,4,1,3,0,0,0,3,1,0
141,Brain Investing Limited,0.6025,"At Brain Investing, we are building all-in-one Fin-tech solutions with cutting-edge artificial intelligence technologies. We help investment companies and institutions achieve better performance with our AI strategy research and execution platforms. Our AI engine employs a wide range of tailor-made machine learning models, taking hundreds of financial factors as input, generates solid trading signals which are escalated into full trading strategies with portfolio construction, position sizing, risk management rules, under widely received trading frameworks such as trend following, mean-reverting, statistical arbitrage, event-driven and so on. The produced strategies consist of five levels which are adjusted fully automatically under new market conditions to deliver continuous and consistent performance.","2/F., Dah Sing Life Building, 99-105 Des Voeux Road Central, Central, Hong Kong",TSSSU/HKU/18/01,HKU,2018,Information and Communication Technologies,1,1,0,3,1,1,0,1,0,2,0,1
142,Corvidae Technology Limited,0.15,"Corvidae' intelligent inspection system facilitates safe and effective maintenance of wind power industry, and our interactive online management portal organizes and automates workflow and analysis.","25th Floor, Worktington Tower, 78 Bonham Strand, Sheung Wan",TSSSU/HKU/18/02,HKU,2018,Other,1,1,0,4,3,1,0,0,0,,0,0
143,Datax Limited,0.6025,"Datax is an all-rounded data labelling and crowdsourcing platform. Combining self-developed auto-labelling algorithms, public contributor workforce and our professional quality assurance team, we help businesses to label, crowdsource and health check data for specialised AI application development, machine learning and analytics purposes.
 Our main advantages:
 1. Flexible and scalable pricing, reduce your need for fixed headcount
 2. Reporting and visualization
 3. Support API for data exchange
 
 We offer 3 major service models:
 1. Full package data labeling service: incl. data health check, labeling system and workforce management, technical support and account servicing
 2. Customized data labeling and AI solutions for your business needs
 3. AI-assisted labeling system for your internal labeling team (PaaS, popular for large team)
 
 Data labeling application cases:
 1. AI-predicted annotation tool on video and image (industrial safety, manufacturing QC)
 2. Audio speech-to-text with sentiment analysis (chatbot, customer service assistance)
 3. Video subtitle generation
 4. Document processing, digitization, automation and conversion (OCR & NLP based)
 5. Other mini AI tools to reduce manual work and optimize administrative processes","Lion Rock 72, 1/F, Innocentre, 72 Tat Chee Ave, Kowloon Tong",TSSSU/HKU/18/03,HKU,2018,Information and Communication Technologies,1,1,0,7,3,2,0,2,0,7,0,1
144,High Performance Solution Limited,1.695,"High-Performance Solution Limited is a spin-off company from the University of Hong Kong based on thermo-electrochemical capacitor (TEC), which is a new technology that converts low-grade waste heat into electricity. HPS has received the funding scheme, TSSSU@HKU 2019-2020 and now focus on the development and commercialization of TEC as a new generation of heat-to-electricity converter for consumer electronics and self-powered applications.","UNIT 1104A 11/F, KAI TAK COMM BLDG, 317-319 DES VOEUX RD, CENTRAL, HK",TSSSU/HKU/18/04,HKU,2018,Energy,1,0,0,6,1,1,0,0,4,,0,1
145,m-Chinese Solution Limited,0.15,"The company promotes the use of technologies enhance active and collaborative language learning, both for the learning of Chinese as second language by learners with diverse language background, and the learning of English and other second/foreign languages by Chinese people.
 
 The services include: (1) Providing mobile interactive platform and enabling technologies integration solutions for enhancing teaching and learning; (2) Providing consultancy, training and support to school, community, and network-based organizations for technology-enhanced teaching and learning; (3) Connecting and supporting individual learners and experts to organize mobile interactive consultation and learning courses; (4) Partnering with other parties in technology, language and education in developing or promoting more new technology-enhanced learning solutions.","C/O Dr Loh K.Y. CACLER, Room 608 Ming Wah Complex, University of Hong Kong, Pokfulam Road, HK",TSSSU/HKU/18/05,HKU,2018,Information and Communication Technologies,1,0,0,3,1,2,0,0,0,4,0,0
146,Novel Sonics Limited,0.91,"Novel Sonics works on the research and development of novel ultrasound imaging techniques for cardiovascular diseases diagnosis. Our team is based at the Ultrasound Imaging Group at The University of Hong Kong. Novel Sonics’ works mainly focus on algorithm and software development related to shear wave elastography, strain imaging and ultrafast ultrasound imaging for investigating the kinematics, mechanical properties, and function of the heart and blood vessels. Novel Sonics aims at developing a medical ultrasound platform as well as other assisting software and equipment, which can be implemented on currently available ultrasound devices on the market, for fast, noninvasive and economical diagnosis and continuous monitoring of different cardiovascular diseases. In long run, our goal is to further explore the potential applications of ultrasound through the research on novel ultrasound imaging techniques so as to provide more accessible and reliable diagnosis alternatives for clinicians, patients and general public.","Room A-C, 13/F, Infotech Centre, 21 Hung To Road, Kwun Tong, Kowloon",TSSSU/HKU/18/06,HKU,2018,Biotechnology,1,0,0,5,3,1,0,1,0,,0,0
147,QuantumFabless Limited,1.365,"QuantumFabless aims to integrate quantum physics in electronic design automation (EDA) and to offer fast yet accurate quantum physical & atomistic modeling and simulation solutions for the R&D of nanometer materials, devices and applications. We help customers minimize costly experiments and accelerate R&D processes.","Unit 907, No.19 Science Park West Avenue, Hong Kong Science Park, Pak Shek Kok, N.T.",TSSSU/HKU/18/07,HKU,2018,Electronics,1,0,0,3,2,1,0,0,0,3,0,1
148,WEAVATOOLS LIMITED,0.86,"Weava (https://www.weavatools.com) is a digital workspace for academic research where students and professionals can highlight, organize, and collaborate – all in one place. 
 
 With Weava, you can: 
 1) Highlight and annotate any online article or PDF with our Chrome extension highlighter.
 2) Organize highlights into folders and color categories.
 3) Manage and review your highlights easily on our dashboard. 
 4) Export your highlights and annotations to start writing your paper. 
 5) Cite your highlights automatically.
 6) Store your work on the cloud, and access your highlights from anywhere.
 
 Weava is a free ed-tech solution developed in Hong Kong by HKU students, and is now used by 100,000+ students and staff at 1,000+ universities around the world. Weava adapts to your needs and research style, giving you the flexibility to review your articles and sources every time you research online.","15B1, Cheung Fat Industrial Building, 7-9 Hill Road, Shek Tong Tsui, Hong Kong Island",TSSSU/HKU/18/08,HKU,2018,Information and Communication Technologies,1,1,0,6,3,2,0,0,1,,0,0
149,Physight Limited,0.76,"Physight Limited is a start-up founded by HKU professor and researchers aiming to super-resolution microscopic imaging for biological and medical sciences. The company is to develop cutting-edge optic microscopic imaging techniques, provide outsourcing research and solutions for researchers in biological, medical sciences and material sciences.","7B TOWER 5 CENTRAL PARK, 18 HOI TING ROAD, KOWLOON, HONG KONG",TSSSU/HKU/19/01,HKU,2019,Biotechnology,1,0,0,2,1,1,0,0,0,1,0,1
150,Regtics Limited,0.11,"Regtics Limited is developing a compliance solution to assist financial institutions in complying with international and local anti-money laundering and counter-financing of terrorism regulations using AI and big data technology. The solution contains three main modules: transaction monitoring, customer due diligence and name screening.","Unit 603-607, 6/F, Lakeside 2, No. 10 Science Park West Avenue, Hong Kong Science Park, Shatin, N.T",TSSSU/HKU/19/02,HKU,2019,Information and Communication Technologies,1,1,0,5,1,0,0,1,3,7,0,1
151,Mega Whiz Education Limited,0.11,Mega Whiz Education Ltd. Is a science and technology enterprise based in Hong Kong. We develop innovative speech and language solution to enhance language learning in children with diverse ability.,"Dr. Carol To. ,MW760, Meng Wah Complex, The University of Hong Kong",TSSSU/HKU/19/03,HKU,2019,Testing and Certification,1,0,0,4,2,1,0,0,1,,0,0
152,Ossfila Technology Limited,0.36,"OSSFILA Technology Limited is a biotechnology startup company specialized in the R&D and manufacture of novel 3D printed bone implants. Founded by three affiliates from the University of Hong Kong in 2018, OSSFILA aims to resolve the supply shortage of donor bone implants. The 3D-printing product composition will be based on a PMMA matrix with the addition of Nano-hydroxyapatite, which form a novel copolymer. Such composition has proven to promote superior biocompatibility while maintaining similar mechanical strength and durability of a normal bone compared to current alternatives. OSSFILA 3D-printing material and 3D-printed bone implants will offer a safe, effective and patient-specific solution for patients in need. Furthermore, we aim to diversify our product composition into filaments and standard research models to target different markets segments including researchers, manufacturer and clinicians alike. 
 Our team consists of experienced scientists with post-graduate degrees specialized in biomaterials, medical engineering and clinical developments. We also have strong industrial and university collaborations to leverage our expertise to bring innovations and facilitate researchers and physicians in the orthopaedics field.","Unit 616, 6/F, Building 19W, No. 19 Science Park West Avenue, Hong Kong Science Park, Shatin, N.T., Hong Kong",TSSSU/HKU/19/04,HKU,2019,Biotechnology,1,1,1,3,2,0,1,0,0,6,1,1
153,Swifthon Technology Consultancy Company Limited,0.31,"ReUbird is your assistant for planning activities and celebrating special moments in life, ranging from gatherings with friends, family parties, company events to even your perfect dates.
 
 Organising an activity, event and celebration has been a pain for both individuals and corporates. We create a marketplace that aggregates all related products/services and make them easily bookable online and on-the-go.","Room09, 16/F, CORE45, 43-45 Tsun Yip Street, Kwun Tong, Kowloon, Hong Kong",TSSSU/HKU/19/05,HKU,2019,Information and Communication Technologies,1,0,0,5,3,0,0,0,2,7,0,0
154,PHRMASEC LIMITED,0.76,"PhrmaSec Limited is a biotech startup that focuses on developing important medical solutions for the unmet needs.The foundation of the company is based on the exciting research led by Professor Billy Chow over the last decade at the University of Hong Kong. Our ambition is to develop novel therapeutic molecules for treatment of critical diseases using GPCRS as targets. For our first project, we are focusing on developing a novel small compound based anti-hypertensive drug (KSD179019) to address the continually expanding hypertensive population. 
 
 Hypertension is the leading preventable cause of premature deaths worldwide. According to an article in ""The Lancet"", about 1.56 billion people will suffer from hypertension by 2025 and 10% of them would be resistant to available drugs in the market (i.e. resistant hypertension). With solid scientific evidence and preliminary studies, we strongly believe KSD179019 will become one of the solutions. 
 
 Aiming for IND filing and phase I clinical trial, comprehensive pre-clinical studies have been planned. Along with our own research team, we are supported by collaborators at the University of Hong Kong and from overseas.","4N01, Kadorees Building of Biological Sciences, SBS, The University of Hong Kong.",TSSSU/HKU/19/06,HKU,2019,Biotechnology,1,1,0,8,4,1,0,0,3,,0,0
155,AICity Technology Holding Limited,0.85,"AICityTech Ltd. main business is navigation and LBS (Location Based Service). It uses an innovative approach of Location Confirmation System rather than the conventional Location Positioning System to assist user in finding their destination from the outdoor to indoor environment. The system uses a Smart Address Plate (SAP) system that is managed by a gateway system for navigation by users and property management by property companies. In addition to navigation and property management, we also provide precision advertising and other consultancy services.","Store Room 2, 15/F., Block I, Kingley Industrial Building, 35 Yip Kan Street, Wong Chuk Hang, Hong Kong",TSSSU/HKU/19/07,HKU,2019,Information and Communication Technologies,1,0,0,5,1,2,0,0,2,,0,1
156,Serinno Holdings Limited,0.79,"Serinno Holdings Limited is an innovative biotechnology company which translates basic research inventions into real life products, spanning from drug screening and discovery, vaccine development, to antibody-drug conjugates. The in-house technologies will assist in the development of new therapeutic biologics against various diseases, and new tools for medicine and biology for the need of both industries and academics.","9th Floor, Amtel Building, 148 Des Voeux Road, Central, Central, Hong Kong",TSSSU/HKU/19/08,HKU,2019,Biotechnology,1,0,0,2,1,1,0,0,0,,0,0
157,EchoX Technology Limited,0.16,EchoX Technology Limited focuses on delivering intelligent medical tools in ultrasound imaging. The products include 1）automatic detection of pleural effusions in lung ultrasound imaging and 2）ultrasound-guided peripheral intravenous tool.,"Unit 603-607, 6/F, Lakeside 2, 10 Science Park West Avenue, Hong Kong Science Park, Shatin, N.T.",TSSSU/HKU/19/09,HKU,2019,Biotechnology,1,0,0,5,0,2,0,1,2,,0,1
158,InterLitho Technology Limited,1.255,"InterLitho Technology Limited is a spinoff company from the University of Hong Kong and is supported by the Technology Startup Support Scheme for Universities (TSSSU) program. InterLitho is established by the Nanostructures Laboratory of HKU and based on the fiber-optic interference lithography technology and its sensing applications developed by the HKU Nanostructures Laboratory. InterLitho will develop innovative nanolithography and nanofabrication equipment based on granted US patents and patent applications. InterLitho will also provide technical services and consultancy on large-area patterning of periodic nanostructures for industrial research labs and university research groups and help industrial customers on the development of manufacturing process for nanostructured products.
 InterLitho's short-term goal is to become a well recognized nanopatterning equipment company in the world and a market leader of interference lithography tools in Greater China area, providing unique lithography tools to research labs in the industry and academia.
 InterLitho's long-term objective is to extend our product line into wider area of scientific instruments for synthesis, characterization, and fabrication of materials with deterministic nanostructures and become a leading company in the scientific instrument market.","FLAT/RM 1903 19/F, PODIUM PLAZA, 5 HANOI ROAD, Tsim Sha Tsui, KL",TSSSU/HKU/19/10,HKU,2019,Advanced Manufacturing/Process Development,1,0,1,7,3,1,0,1,2,,1,1
159,DigiDent AI Limited,0.51,"DigiDent AI Limited is being established in Hong Kong offering superior technology solutions in dentistry including the design of fixed prosthesis.
 
 Dental laboratories and the industry have long since been encountered problems related to accuracy, sensitivity and robustness of the stone moulds, the working flow are tedious, labour and cost consuming. By contrast, DigiDent AI Limited is pioneering a software approach based on machine learning algorithms with learning each patient and compiling with materials selection, to achieve the full-automatic design of dental prosthesis with high accuracy, reduced time and labour.","Room 311A, Morrison Hall, 109 Pokfulam Road, Hong Kong",TSSSU/HKU/19/11,HKU,2019,Information and Communication Technologies,1,0,0,3,1,1,0,1,0,,0,0
160,Kin Technology Limited,0.21,"Kin Technology offers closed-loop household medication management solution to healthcare providers, individual caregivers & caretakers. The solution comprises an automatic pill dispenser, a mobile app and a central management system that can monitor and manage the medication remotely. Our products ensure the right person is taking the right dosage of medication at the right time.","K00350, West Wing 2/F, 822 Lai Chi Kok Road, Cheung Sha Wan, Kowloon",TSSSU/HKU/19/12,HKU,2019,Electronics,1,1,1,4,2,0,0,0,2,,1,1
161,Tale Limited,0.36,"Tale is an A.I. driven platform for presentation coaching. Our team is driven to build a worldwide presentation ecosystem, to be a pioneer in AI presentation coaching. 
 
 Designed to improve the presentation skills of our users, Tale assists users to tackle problems encountered when presenting and provide professional guidance, prepare them to deliver an organized presentation with skills and confidence.
 
 Tale is an award-winning company that has secured funding from Cyberport and the HK government, as well as several awards including Microsoft Imagine Cup 2018 and Asia Pacific ICT Alliance Award 2018.","Room 102, Technology Plaza 29-35, Sha Tsui Road, Tsuen Wan, N.T., Hong Kong",TSSSU/HKU/19/13,HKU,2019,Information and Communication Technologies,1,0,0,2,1,0,1,0,0,,0,0
162,CYC Motor Limited,0.36,"CYC MOTOR LTD. is devoted in research and development of electric bike products, including core technologies of motor system, batteries, controller system, gearbox and bike frame. Our products have distributors in 20+ countries worldwide and will continue to innovate the electric bike industry.","14C, Century Industrial Centre, 33-35 Au Pui Wan Street, Fo Tan, Shatin, N.T. Hong Kong",TSSSU/HKU/19/14,HKU,2019,Advanced Manufacturing/Process Development,1,1,0,6,2,0,0,1,3,6,0,0
163,Next Insurtech Limited,0.5025,"Next Insurtech Limited, founded in 2018,currently endorsed by the Hong Kong Cyberport Incubation Program. Aiming to build an online aggregator, HoldCover.com, with full range of general insurance products for individuals and SME clients to do product comparison and direct purchases online. It will be launching in Hong Kong for the first step while targeting to expand overseas and become the number one Asia-Pacific Insurance Platform. HoldCover connects insurance companies through various APIs, and will be offering A.I. Robo-Advisory Services to deliver frictionless insurance application experience to the end-users.
 
 Furthermore, we are working on the Research & Development of an insurance-specific blockchain solution based on Hyperledger Fabric with the Logistics & Supply Chain Multi-tech R&D Centre in Hong Kong (LSCM). This is supported and partially funded by the ITC Funding from HKSAR Government. The goal of this blockchain solution is to allow instant exchange of policyholders’ insurance history among different insurance companies and authorised third parties such as regulators, hospitals, banks and even reinsurers. With the help of Smart Contracts and privacy settings, we believe it could solve the market pain points about false reporting from the insured and also minimise the operational works for insurers.","Room 36, 5/F, Core F, Cyberport 3, Hong Kong",TSSSU/HKU/19/15,HKU,2019,Information and Communication Technologies,1,0,0,3,1,1,0,1,0,7,0,0
164,Spiral Capital Limited,0.11,"Technical development of computer software; Electronic components; E-commerce; Product design; Corporation brand planning; Marketing planning; Design, produce, act as agent and release all kinds of advertisements; Domestic trade; Import and export business.","2101, tower 2, Hong Kong City, 33 Canton Road, Tsim Sha Tsui, Hong Kong",TSSSU/HKU/19/17,HKU,2019,Information and Communication Technologies,1,0,0,4,2,0,0,0,2,,0,0
165,Farmacy HK Limited,0.5025,"In response to the pressing global challenges caused by rapid urbanisation and deforestation, Farmacy HK is the 1st “Agri-Prop” tech start-up in Asia that builds smart mobile farms in the heart of our cities.
 
 We enable supermarkets, restaurants, hotels, schools and every household to farm ultra-fresh, safe and affordable crops on-site with pioneer indoor farming technologies, full automation and “property-able” modular capabilities.
 
 There are threats in existing farming practices posed by asset degradation and commercial viability. In traditional rural farming, 69% of farmland is rated as degraded and unsuitable for production, whereas 92% of farms use chemical products. 
 On the other hand, 55% of urban farms’ cost is spent on rent, equipment & logistics; 86% of urban farms face huge loss in production if artificial tech fails. As a result, 98% of green produce is degraded in transit.
 
 With urban farming 2.0 technology solution, each >2m2 Farmacy Mobile Farm makes 7,000 plants yield annually, which is equivalent to 200m2 of outdoor farmland.","14 Floor, China Hong Kong Tower, 8 Hennessy Road, Wan Chai, HK",TSSSU/HKU/19/18,HKU,2019,Other,1,1,0,6,3,0,1,0,2,3,0,0
166,Momentus Robotics Limited,0.39,"Momentus Robotics is a Hong Kong-based robotics company that develops high-performance MR-safe hydraulic motors for use in magnetic resonance imaging (MRI)-guided robotic systems. Our key technologies have been patented, and we will be the first to offer commercially available and entirely MR-safe actuation systems in the market. We are dedicated to the future of MRI-based interventions and aim to provide a robust platform for researchers and industry to develop their own MRI-guided robotic systems.","Flat F, 17/F, Hoi Wan Court, Block 4, South Horizons, Hong Kong",TSSSU/HKU/20/01,HKU,2020,Other,1,0,0,2,1,1,0,0,0,,0,1
167,Jushan Bio Limited,0.39,"Jushan Bio Limited is a precision digital diagnostics and healthtech company based in Hong Kong. We develop aptamers and integrate them into platforms to produce next-generation digital diagnostics solutions. Aptamer-based diagnostics have many advantages over existing tests. These include compatibility with saliva, urine, blood, sweat diagnostics, electrochemical detection, reliable multiplexing and mobile phone integrated diagnostics. By comparison, our technology will enable rapid diagnostic tests (RDTs) to be superior in one or more of: sensitivity, speed, robustness, thermostability, scalability and cost. Jushan Bio has an internationally renowned team with all the necessary technical, business and management expertise to ensure success.","1204 Dominion Centre, 43-59 Queen’s Road East, Wan Chai, Hong Kong",TSSSU/HKU/20/02,HKU,2020,Biotechnology,1,0,0,0,0,0,0,0,0,,0,0
168,Ubiquity Diagnostics Limited,0.39,"Ubiquity Diagnostics aims to improve current conventional brain magnetic resonance imaging (MRI) practices and provide new clinical brain MRI solutions through advances in computing algorithms and neuroscience research. MRI is recognized by most clinicians as one of the most valuable medical device innovations because it can detect and characterize pathological tissues with high sensitivity and specificity in an inherently quantitative, multi-parametric, non-invasive and non-ionizing manner. Despite MRI's clear clinical advantages and benefits, its accessibility remains a fundamentally limiting issue. MRI is known to have comparatively long patient scan times (i.e., -6 minutes/scan; -30 minutes/patient), leading to low patient throughput and critical patient backlogs (i.e., -2months wait for general cases). Note that the present focus is on developing solutions for brain imaging as -30% of present MR I scans involve the brain, though these software technologies will be applicable when imaging other organs.","Department of Electrical & Electronic Engineering, The University of Hong Kong",TSSSU/HKU/20/03,HKU,2020,Biotechnology,0,0,0,2,0,2,0,0,0,,0,0
169,HYDROSOFT LIMITED,0.3,"HydroSoft Limited is a company that develops soft dexterous underwater manipulators for inspection-class ROVs. The products HydroSoft develops have four prominent characteristics that make them stand out over conventional products: a) Zero weight-in-water and compact overall design, can be mounted on observation-class ROVs. b) Ambient water pressure independence, enabling large working depth range. c) Sensors embedded in soft actuators for precise position and force control. d) Low price and easy to manufacture. HydroSoft’s target customers are mainly from University/Research institutions, industry/government departments, and individuals that need to conduct underwater operations.","ROOM J, 29/F, T2, CETUS SQUARE MILE, NO.18 KA SHIN ROAD, MONG KOK",TSSSU/HKU/20/04,HKU,2020,Advanced Manufacturing/Process Development,1,0,1,5,2,0,0,2,1,,1,1
170,Levobio Limited,0.3,"The start up “Levobio Ltd” is a new, energetic company that aims to develop biomimetic and bioinspired medical and dental materials, with the absence of harmful components such as “BPA” and “heavy metal”. The start up has just been formed by two members of HKU.","2B, NO.1 high street, Central and west",TSSSU/HKU/20/05,HKU,2020,Nanotechnology and Materials Science,1,0,0,3,1,2,0,0,0,,0,1
171,Llewellyn and Partners Company Limited,0.3,"The LPC startup team has been developing BIM-related technologies and strengthening BIM applications for a decade in the U.K. and China. Based on the BIM R&D experience in the construction industry in recent years, the team developed BIMwarehouse, an ISO-compliant platform with an integrated project and asset information management solution, that improves the work efficiency of the AECO industry. BIMwarehouse provides BIM family library and database. It applies IFC open BIM data standard in data input and storage to regulate the classification and coding system of the family warehouse. BIMwarehouse not only provides data storage, but users can use the AutoBIM technology developed by LPC and enjoy the achievements of such A.I. and Blockchain patented technology, to efficiently and effectively build Digital Twins. Besides, LPC BIM professional training will be integrated into the platform as online and offline BIM training functions, which will enrich the user experience on digitalization, and ultimately provides R&D, consulting and training services to various organizations in the future construction industry. It will eventually facilitate smart city development for Hong Kong and Great Bay Area.","Unit 2302, 23/F, New World Tower 1, 13 Queen's Road, Central, Hong Kong",TSSSU/HKU/20/06,HKU,2020,Information and Communication Technologies,1,0,0,12,1,1,0,10,0,,0,1
172,Hestia Technology Limited,0.2,"Hestia Technology Limited focuses in robotized smart kitchen making Chinese Cuisine. We research, design and develop state-of-the-art technologies in food science, automation and robotics.
 
 The robotic system is composed of multiple modules from ordering, to pre-cooking and cooking.","SHOP C, G/F Lai On Building, NOS.2 2A-2C WATER ST & NOS. 15-19, LAI ON LANE, SAI YING PUN, HK",TSSSU/HKU/20/07,HKU,2020,Advanced Manufacturing/Process Development,1,0,1,8,5,1,0,1,1,8,1,1
173,Soonlution Technology Limited,0.15,"Soonlution Technology Limited is an innovative start-up formed by a group of members from the University of Hong Kong. Soonlution aims to boost sustainable aquaculture by bring new technology into this industry. Soonlution are currently working on the project Modernized Shellfish Home (MSH), which helps shellfish grower face the challenges of global warming, particularly typhoons.","FLAT G, 8/F., BLOCK 2 TSING YI, GARDEN TSING YI, NEW TERRITORIES, HONG KONG",TSSSU/HKU/20/08,HKU,2020,Advanced Manufacturing/Process Development,1,0,1,4,2,0,2,0,0,,1,1
174,AI Academy Limited,0.15,"AI Academy is an EduTech startup empowers students with knowledge of computer science and artificial intelligence and becoming AI future leaders. Our team is driven to build an online AI & Coding learning platform, to be a pioneer in STEM education. 
 
 Designed to help students learn AI and coding, the Online Learning Platform with AI and STEM curriculum and features of gamification including machine learning concepts and AI application along allowing (i) the students to learn the concept of AI and different machine learning models to facilitate their learning in AI in a more fun and efficient way and (ii) teachers to teach AI and STEM easily by themselves. 
 
 AI Academy is an award-winning company that has secured funding from Cyberport and the HK government, as well as several awards including the 5th Hong Kong University Student Innovation and Entrepreneurship Competition and The 5th China ""Internet +"" University Students Innovation and Entrepreneurship Competition.","Idendron, 1/F Knowles Building, The University of Hong Kong",TSSSU/HKU/20/09,HKU,2020,Other,1,1,0,2,1,0,1,0,0,,0,1
175,Sherpa Careers Limited,0.1,"Every year, students submit more than 600 million job applications, hoping to get their dream job. Fierce competition, however, forces many students to pay up to HKD 120,000 for personalized career coaching. Sherpa aims to disrupt this market by democratizing career opportunities for all students.
 
 We achieve personalized career training at an affordable price by combining human input with artificial intelligence. Our evaluation framework combines deep learning with industrial-organizational psychology to evaluate a candidate’s interview performance. The output metrics are then combined with input from human coaches to provide actionable feedback to students. This human-A.I. hybrid feedback model attempts to quantify interview performance while respecting the human component in hiring.
 
 We started Sherpa with the belief that we could provide affordable, but just as valuable, career coaching services to students. This desire to help students from all backgrounds reach their potential is reflected in Sherpa’s mission statement – democratizing career opportunities.","2/F, Dah Sing Life Building, 99-105 Des Voeux Road Central, Central, Hong Kong",TSSSU/HKU/20/10,HKU,2020,Information and Communication Technologies,1,0,0,1,1,0,0,0,0,,0,1
176,Nanopath Technologies Limited,0.1,Combatting Fish Fraud and Promoting Seafood Sustainability through Fast and comprehensive DNA Analysis.,"14/F, Manning House 38-48 Queen's Road Central, Central, Hong Kong",TSSSU/HKU/20/11,HKU,2020,Biotechnology,1,0,0,5,3,0,1,1,0,,0,1
177,Hong Kong Univisual Intelligent Technology Limited,0.3,"Hong Kong Univisual Intelligent Technology Limited is an artificial intelligence startup founded by HKU EEE graduates team. The company focuses on the development for intelligent platforms using computer vision and deep learning. This start-up awarded the Cyberport Creative Micro Fund as the seed fund to kick start the business and deploy the HKU-made technology on AI human posture analysis which was developed by a ITF Better Living Fund. The technology has been deployed in Drowning Detection System (the ITF project SmartSwim), Golf and Yoga training (the Robocoach project that awarded the Best Creative Idea Project in the Singapore Young Talent Award), and intelligent systems for ice hockey competition and training. According to market demand, our company focuses on two systems: Smart Swim and Sport analysis system. With the development of deep learning, computer vision has grown rapidly, and adapted into different kinds of applications. As for our company, we aim at developing the products using computer vision in the real life, like sports and security. 
 Our products initially include two systems: Smart Swim and Sport analysis system. However, such technologies can be adopted into other applications such as security, health, elderly market…etc, which is promising in the future.","Rm01 of Suite Nos 3-8, 29/F, Pacific Plaza, No 410 Des Voeux Road West, Shek Tong Tsui",TSSSU/HKU/20/12,HKU,2020,Information and Communication Technologies,1,0,1,5,5,0,0,0,0,,1,1
